year,class,female,femalespeers,malespeers,continue_or_grad,company_n,totpeople
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,0,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,1,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,0,D-1,38
78,1,1,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,1,3,34,0,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,0,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,0,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,0,3,34,1,D-1,38
78,1,1,3,34,1,D-1,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,0,D-2,38
78,1,1,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,0,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,0,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,0,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,36,1,D-2,38
78,1,0,1,37,1,D-3,39
